NUM;AREA;LOCUS;BUCKET;CLASS;TYPE;MATERIAL;TECHNIQUE;DECORATION;PRESERVATION;FRAGMENTS;HEIGHT;LENGHT;WIDTH;THICKNESS;DIAMETER;PERF. DIAM.;WEIGHT;DESCRIPTION;
310;G;F.1061;538/b;metal tool&weapon;harrow head;bronze;mold;;complete;1;3,7;;0,9;0,3;;;;Bronze harrowhead, leaf shaped.;
311;A west;F.641;128/c;glass conteiner;glass bottle;glass;hand;;fragmentary;1;0.7;;;0.6;2.7;;;Black glass rim of bottle, 3 ring spiral-shape.;
312;H;F.1118;612/a;metal ornament;pin;iron;hand;;complete;1;;9.9;;0.3;;;;Iron pin.;
313;H;F.1100;613/d;metal tool&weapon;nail;iron;hand;;complete;1;;24.8;;0.8;;;;Iron nail with square section and nearly circular head (diameter: 2.3);
314;H;F.1124;616/a;clay figurine;Animal figurine;clay;hand;applied;fragmentary;1;5.5+;4.1;2.6;;;;;Head of a horse figurine, with harness.;
315;H;F.1124;616/b;clay figurine;Animal figurine;clay;hand;;fragmentary;1;4.7+;;2.2+;;;;;Leg of an animal figurine.;
316;A west;F.650;127/a;clay figurine;Animal figurine;clay;hand;;fragmentary;1;4.3+;9.3+;4.5+;;;;;Body of an animal figurine.;
317;H;F.1120;614/a;stone tool&weapon;pestle;stone;hand;;nearly complete;1;14.5;;4.5;5.2;;;;elongated pestle of stone, secondary use polisher.;
318;H;F.1118;612/b;stone tool&weapon;grinder;basalt;hand;;fragmentary;1;4.9;13.2+;;4.9;;;;Grinder of medium grained basalt, plano-convex section.;
319;H;F.1120;614/b;stone tool&weapon;grinder;basalt;hand;;fragmentary;1;9+;17+;19.3+;;;;;Grinder of medium grained basalt, plano-convex section.;
320;C;F.958;432/c;stone vessel;tripod;basalt;hand;;fragmentary;1;6.7+;;;;;;;Tripod of fine-grained basalt. Small vertical food, square section, mortar used. Wall: 3 cm.;
321;H;F.1124;616/d;stone vessel;plate;basalt;hand;;fragmentary;1;3.3;;;;16;;;"Stone vessel of fine grained basalt; rim 1.4 cm; wall 2 cm; base 2.3 cm.";
322;H;F.1124;616/h;stone vessel;tripod;basalt;hand;;fragmentary;1;8+;;;;24;;;"Stone tripod of fine grained basalt; rim 1.3 cm, wall 2.9 cm, base 3.3 cm.";
323;H;F.1126;617/a;stone tool&weapon;grinder;basalt;hand;;fragmentary;1;6;15.5+;14.5+;;;;;Grinder of medium grained basalt, plano-convex section.;
324;C;W.970;442/b;stone tool and weapon;grinding stone;basalt;hand;;fragmentary;1;;14.2+;12.3+;4.8+;;;;Saddle-shape grinding stone of coarse-grained basalt.;
325;C;F.934;428/a;indeterminate;indeterminate;pottery;hand;;nearly complete;1;;;;0.8;3;0.3;;Pottery object with 2 hole 2-side perfored, button-shape.;
326;C east;F.963;441/a;other;pipe;pottery;;applied - incised;fragmentary;1;2.9+;5.5;3.1;;;;;Fragment of islamic pipe with applied flower and geometrical decoration.;
